"Source:","G:\My Drive\10-Fall2023\ECE 484 Senior Design\PCBs\Projects\NCPCB\ph\ph.kicad_sch"
"Date:","1/24/2024 2:31:53 PM"
"Tool:","Eeschema 7.0.10"
"Generator:","C:\Program Files\KiCad\7.0\bin\scripting\plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","33"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor","DNP"
"C1","1","2.2nF","C","","Unpolarized capacitor","",""
"C2","1","1uF","C","","Unpolarized capacitor","",""
"C3, C4, C10, C12","4","100nF","C","","Unpolarized capacitor","",""
"C5, C6, C9, C11","4","10uF","C","","Unpolarized capacitor","",""
"C7, C8","2","100uF","C_Polarized","","Polarized capacitor","",""
"D1","1","LED","LED","","Light emitting diode","",""
"H1","1","MountingHole","MountingHole","","Mounting Hole without connection","",""
"P1","1","BNC","Conn_Coaxial","","coaxial connector (BNC, SMA, SMB, SMC, Cinch/RCA, LEMO, ...)","",""
"Q1, Q2","2","ZXMN6A07F","ZXMN6A07F","Package_TO_SOT_SMD:SOT-23","1.4A Id, 60V Vds, N-Channel MOSFET, SOT-23","",""
"R1, R3","2","2.2k","R","","Resistor","",""
"R2, R4","2","10k","R","","Resistor","",""
"R5","1","4.7M","R","","Resistor","",""
"R6","1","2.2K","R","","Resistor","",""
"R7, R11","2","1K","R","","Resistor","",""
"R8, R10","2","30K","R","","Resistor","",""
"R9","1","75K","R","","Resistor","",""
"RV1","1","5K","R_Potentiometer_Small","","Potentiometer","",""
"TP1","1","TestPoint","TestPoint","","test point","",""
"U1","1","CA3140AMZ","CA3140","","4.5MHz, BiMOS Operational Amplifier with MOSFET Input/Bipolar Output, DIP-8/SOIC-8","",""
"U2","1","TL081BCDR","TL081","","Single JFET-Input Operational Amplifiers, DIP-8/SOIC-8","",""
"U3","1","MAX860ESA_","MAX860ESA_","MAX860ESA_:SOIC127P600X175-8N","","",""
